Training: Ironclad | 500000 steps | 4 envs | device=mps

  [  0.6%] 3128/500000 | 8 steps/s | ETA 16h18m | iter 38%
  [  0.6%] 3144/500000 | 8 steps/s | ETA 16h19m | iter 38%
  [  0.6%] 3164/500000 | 8 steps/s | ETA 16h19m | iter 39%
  [  0.6%] 3180/500000 | 8 steps/s | ETA 16h21m | iter 39%
  [  0.6%] 3196/500000 | 8 steps/s | ETA 16h22m | iter 39%
  [  0.6%] 3216/500000 | 8 steps/s | ETA 16h22m | iter 39%
  [  0.6%] 3236/500000 | 8 steps/s | ETA 16h22m | iter 40%
  [  0.7%] 3256/500000 | 8 steps/s | ETA 16h21m | iter 40%
  [  0.7%] 3272/500000 | 8 steps/s | ETA 16h22m | iter 40%
  [  0.7%] 3292/500000 | 8 steps/s | ETA 16h22m | iter 40%
  [  0.7%] 3312/500000 | 8 steps/s | ETA 16h22m | iter 40%
  [  0.7%] 3332/500000 | 8 steps/s | ETA 16h22m | iter 41%
  [  0.7%] 3352/500000 | 8 steps/s | ETA 16h22m | iter 41%
  [  0.7%] 3372/500000 | 8 steps/s | ETA 16h22m | iter 41%
  [  0.7%] 3392/500000 | 8 steps/s | ETA 16h21m | iter 41%
  [  0.7%] 3412/500000 | 8 steps/s | ETA 16h21m | iter 42%
  [  0.7%] 3428/500000 | 8 steps/s | ETA 16h22m | iter 42%
  [  0.7%] 3444/500000 | 8 steps/s | ETA 16h23m | iter 42%
  [  0.7%] 3460/500000 | 8 steps/s | ETA 16h23m | iter 42%
  [  0.7%] 3480/500000 | 8 steps/s | ETA 16h23m | iter 42%
  [  0.7%] 3500/500000 | 8 steps/s | ETA 16h23m | iter 43%
  [  0.7%] 3520/500000 | 8 steps/s | ETA 16h23m | iter 43%
  [  0.7%] 3540/500000 | 8 steps/s | ETA 16h23m | iter 43%
  [  0.7%] 3560/500000 | 8 steps/s | ETA 16h23m | iter 43%
  [  0.7%] 3580/500000 | 8 steps/s | ETA 16h23m | iter 44%
  [  0.7%] 3600/500000 | 8 steps/s | ETA 16h22m | iter 44%
  [  0.7%] 3620/500000 | 8 steps/s | ETA 16h22m | iter 44%
  [  0.7%] 3636/500000 | 8 steps/s | ETA 16h22m | iter 44%
  [  0.7%] 3656/500000 | 8 steps/s | ETA 16h22m | iter 45%
  [  0.7%] 3672/500000 | 8 steps/s | ETA 16h23m | iter 45%
  [  0.7%] 3688/500000 | 8 steps/s | ETA 16h25m | iter 45%
  [  0.7%] 3704/500000 | 8 steps/s | ETA 16h26m | iter 45%
  [  0.7%] 3724/500000 | 8 steps/s | ETA 16h26m | iter 45%
  [  0.7%] 3744/500000 | 8 steps/s | ETA 16h25m | iter 46%
  [  0.8%] 3760/500000 | 8 steps/s | ETA 16h26m | iter 46%
  [  0.8%] 3776/500000 | 8 steps/s | ETA 16h26m | iter 46%
  [  0.8%] 3796/500000 | 8 steps/s | ETA 16h26m | iter 46%
  [  0.8%] 3816/500000 | 8 steps/s | ETA 16h25m | iter 47%
  [  0.8%] 3836/500000 | 8 steps/s | ETA 16h25m | iter 47%
  [  0.8%] 3852/500000 | 8 steps/s | ETA 16h25m | iter 47%
  [  0.8%] 3868/500000 | 8 steps/s | ETA 16h26m | iter 47%
  [  0.8%] 3884/500000 | 8 steps/s | ETA 16h26m | iter 47%
  [  0.8%] 3900/500000 | 8 steps/s | ETA 16h27m | iter 48%
  [  0.8%] 3912/500000 | 8 steps/s | ETA 16h29m | iter 48%
  [  0.8%] 3924/500000 | 8 steps/s | ETA 16h31m | iter 48%
  [  0.8%] 3940/500000 | 8 steps/s | ETA 16h32m | iter 48%
  [  0.8%] 3956/500000 | 8 steps/s | ETA 16h33m | iter 48%
  [  0.8%] 3972/500000 | 8 steps/s | ETA 16h33m | iter 48%
  [  0.8%] 3988/500000 | 8 steps/s | ETA 16h33m | iter 49%
  [  0.8%] 4004/500000 | 8 steps/s | ETA 16h34m | iter 49%
  [  0.8%] 4020/500000 | 8 steps/s | ETA 16h34m | iter 49%
  [  0.8%] 4036/500000 | 8 steps/s | ETA 16h35m | iter 49%
  [  0.8%] 4052/500000 | 8 steps/s | ETA 16h35m | iter 49%
  [  0.8%] 4068/500000 | 8 steps/s | ETA 16h35m | iter 50%
  [  0.8%] 4084/500000 | 8 steps/s | ETA 16h36m | iter 50%
  [  0.8%] 4100/500000 | 8 steps/s | ETA 16h36m | iter 50%
  [  0.8%] 4116/500000 | 8 steps/s | ETA 16h37m | iter 50%
  [  0.8%] 4132/500000 | 8 steps/s | ETA 16h38m | iter 50%
  [  0.8%] 4148/500000 | 8 steps/s | ETA 16h39m | iter 51%
  [  0.8%] 4164/500000 | 8 steps/s | ETA 16h39m | iter 51%
  [  0.8%] 4180/500000 | 8 steps/s | ETA 16h39m | iter 51%
  [  0.8%] 4196/500000 | 8 steps/s | ETA 16h40m | iter 51%
  [  0.8%] 4216/500000 | 8 steps/s | ETA 16h40m | iter 51%
  [  0.8%] 4236/500000 | 8 steps/s | ETA 16h39m | iter 52%
  [  0.9%] 4256/500000 | 8 steps/s | ETA 16h39m | iter 52%
  [  0.9%] 4276/500000 | 8 steps/s | ETA 16h39m | iter 52%
  [  0.9%] 4292/500000 | 8 steps/s | ETA 16h39m | iter 52%
  [  0.9%] 4312/500000 | 8 steps/s | ETA 16h39m | iter 53%
  [  0.9%] 4332/500000 | 8 steps/s | ETA 16h39m | iter 53%
  [  0.9%] 4352/500000 | 8 steps/s | ETA 16h39m | iter 53%
  [  0.9%] 4372/500000 | 8 steps/s | ETA 16h39m | iter 53%
  [  0.9%] 4388/500000 | 8 steps/s | ETA 16h39m | iter 54%
  [  0.9%] 4408/500000 | 8 steps/s | ETA 16h39m | iter 54%
  [  0.9%] 4428/500000 | 8 steps/s | ETA 16h38m | iter 54%
  [  0.9%] 4448/500000 | 8 steps/s | ETA 16h38m | iter 54%
  [  0.9%] 4468/500000 | 8 steps/s | ETA 16h38m | iter 55%
  [  0.9%] 4484/500000 | 8 steps/s | ETA 16h38m | iter 55%
  [  0.9%] 4504/500000 | 8 steps/s | ETA 16h38m | iter 55%
  [  0.9%] 4524/500000 | 8 steps/s | ETA 16h37m | iter 55%
  [  0.9%] 4544/500000 | 8 steps/s | ETA 16h37m | iter 55%
  [  0.9%] 4560/500000 | 8 steps/s | ETA 16h37m | iter 56%
  [  0.9%] 4576/500000 | 8 steps/s | ETA 16h38m | iter 56%
  [  0.9%] 4596/500000 | 8 steps/s | ETA 16h37m | iter 56%
  [  0.9%] 4612/500000 | 8 steps/s | ETA 16h38m | iter 56%
  [  0.9%] 4632/500000 | 8 steps/s | ETA 16h38m | iter 57%
  [  0.9%] 4652/500000 | 8 steps/s | ETA 16h37m | iter 57%
  [  0.9%] 4672/500000 | 8 steps/s | ETA 16h37m | iter 57%
  [  0.9%] 4692/500000 | 8 steps/s | ETA 16h37m | iter 57%
  [  0.9%] 4712/500000 | 8 steps/s | ETA 16h37m | iter 58%
  [  0.9%] 4728/500000 | 8 steps/s | ETA 16h37m | iter 58%
  [  0.9%] 4748/500000 | 8 steps/s | ETA 16h37m | iter 58%
  [  1.0%] 4768/500000 | 8 steps/s | ETA 16h37m | iter 58%
  [  1.0%] 4788/500000 | 8 steps/s | ETA 16h36m | iter 58%
  [  1.0%] 4808/500000 | 8 steps/s | ETA 16h36m | iter 59%
  [  1.0%] 4828/500000 | 8 steps/s | ETA 16h36m | iter 59%
  [  1.0%] 4848/500000 | 8 steps/s | ETA 16h36m | iter 59%
  [  1.0%] 4868/500000 | 8 steps/s | ETA 16h36m | iter 59%
  [  1.0%] 4888/500000 | 8 steps/s | ETA 16h35m | iter 60%
  [  1.0%] 4908/500000 | 8 steps/s | ETA 16h35m | iter 60%
  [  1.0%] 4928/500000 | 8 steps/s | ETA 16h35m | iter 60%
  [  1.0%] 4948/500000 | 8 steps/s | ETA 16h35m | iter 60%
  [  1.0%] 4964/500000 | 8 steps/s | ETA 16h35m | iter 61%
  [  1.0%] 4984/500000 | 8 steps/s | ETA 16h35m | iter 61%
  [  1.0%] 5004/500000 | 8 steps/s | ETA 16h34m | iter 61%
  [  1.0%] 5024/500000 | 8 steps/s | ETA 16h34m | iter 61%
